time_unix,x,y,heading,velocity_cmd
1749038193.863508,3.413,1.371,-0.570,0.000
1749038194.062379,3.464,1.335,-0.658,0.000
1749038194.161263,3.487,1.316,-0.736,0.000
1749038194.360023,3.530,1.270,-0.905,0.000
1749038194.459909,3.548,1.245,-0.982,0.000
1749038194.658902,3.578,1.193,-1.097,0.000
1749038194.758885,3.591,1.165,-1.141,0.000
1749038194.959354,3.615,1.108,-1.231,0.000
1749038195.058734,3.624,1.079,-1.280,0.000
1749038195.257668,3.638,1.020,-1.402,0.000
1749038195.356995,3.642,0.989,-1.478,0.000
1749038195.556720,3.644,0.927,-1.626,0.000
1749038195.656089,3.641,0.897,-1.699,0.000
1749038195.854178,3.629,0.838,-1.822,0.000
1749038196.053725,3.611,0.780,-1.921,0.000
1749038196.253210,3.587,0.724,-2.020,0.000
1749038196.352300,3.573,0.696,-2.073,0.000
1749038196.552400,3.540,0.643,-2.186,0.000
1749038196.652441,3.522,0.619,-2.252,0.000
1749038196.851618,3.480,0.574,-2.402,0.000
1749038196.950335,3.456,0.554,-2.476,0.000
1749038197.149761,3.406,0.520,-2.609,0.000
1749038197.249128,3.380,0.506,-2.668,0.000
1749038197.447460,3.325,0.481,-2.763,0.000
1749038197.546501,3.296,0.470,-2.809,0.000
1749038197.746629,3.236,0.453,-2.907,0.000
1749038197.846695,3.206,0.447,-2.968,0.000
1749038198.045800,3.145,0.440,-3.115,0.000
1749038198.144685,3.114,0.441,3.099,0.000
1749038198.343206,3.050,0.444,3.133,0.000
1749038198.442861,3.019,0.443,-3.050,0.000
1749038198.643034,2.956,0.428,-2.775,0.000
1749038198.741873,2.930,0.417,-2.675,0.000
1749038198.941080,2.881,0.389,-2.603,0.000
1749038199.041170,2.855,0.373,-2.589,0.000
1749038199.240368,2.803,0.339,-2.522,0.000
1749038199.339726,2.778,0.320,-2.453,0.000
1749038199.539210,2.733,0.276,-2.280,0.000
1749038199.638544,2.715,0.252,-2.202,0.000
1749038199.838142,2.683,0.202,-2.077,0.000
1749038199.938137,2.668,0.175,-2.027,0.000
1749038200.137314,2.644,0.118,-1.937,0.000
1749038200.237352,2.634,0.090,-1.885,0.000
1749038200.436859,2.618,0.032,-1.763,0.000
1749038200.536948,2.614,0.001,-1.694,0.000
1749038200.735856,2.610,-0.061,-1.561,0.000
1749038200.835576,2.611,-0.092,-1.497,0.000
1749038201.035396,2.619,-0.152,-1.378,0.000
1749038201.135149,2.626,-0.181,-1.322,0.000
1749038201.334661,2.644,-0.240,-1.213,0.000
1749038201.434240,2.656,-0.269,-1.155,0.000
1749038201.633712,2.684,-0.322,-1.038,0.000
1749038201.733199,2.699,-0.347,-0.975,0.000
1749038201.932797,2.738,-0.396,-0.845,0.000
1749038202.032064,2.759,-0.419,-0.785,0.000
1749038202.230700,2.804,-0.459,-0.666,0.000
1749038202.330620,2.830,-0.478,-0.602,0.000
1749038202.529041,2.881,-0.509,-0.487,0.000
1749038202.628595,2.909,-0.523,-0.426,0.000
1749038202.828324,2.966,-0.545,-0.305,0.000
1749038202.927802,2.996,-0.553,-0.246,0.000
1749038203.127386,3.056,-0.564,-0.123,0.000
1749038203.226930,3.087,-0.567,-0.063,0.000
1749038203.425655,3.148,-0.568,0.043,0.000
1749038203.525247,3.177,-0.566,0.061,0.000
1749038203.724903,3.238,-0.563,0.025,0.000
1749038203.824533,3.269,-0.563,-0.004,0.000
1749038204.023449,3.332,-0.564,-0.050,0.000
1749038204.122946,3.361,-0.566,-0.062,0.000
1749038204.322496,3.421,-0.569,-0.043,0.000
1749038204.422527,3.452,-0.570,-0.024,0.000
1749038204.620977,3.515,-0.571,0.009,0.000
1749038204.720134,3.546,-0.570,0.021,0.000
1749038204.919799,3.607,-0.569,0.036,0.000
1749038205.019668,3.637,-0.568,0.030,0.000
1749038205.218981,3.700,-0.565,0.066,0.000
1749038205.318405,3.733,-0.562,0.152,0.000
1749038205.516862,3.796,-0.544,0.393,0.000
1749038205.715887,3.845,-0.518,0.569,0.000
1749038205.816065,3.869,-0.502,0.612,0.000
1749038206.015147,3.917,-0.467,0.660,0.000
1749038206.114438,3.941,-0.447,0.693,0.000
1749038206.312992,3.988,-0.405,0.806,0.000
1749038206.412490,4.008,-0.381,0.889,0.000
1749038206.610716,4.042,-0.332,1.061,0.000
1749038206.711118,4.055,-0.306,1.130,0.000
1749038206.910041,4.078,-0.250,1.223,0.000
1749038207.010406,4.088,-0.220,1.267,0.000
1749038207.209338,4.104,-0.160,1.370,0.000
1749038207.308755,4.109,-0.130,1.435,0.000
1749038207.507104,4.113,-0.070,1.574,0.000
